,0,original,paredao
3872,"@MariaTh09491069 @HugoGloss Meu o cara da o sangue nas provas,defende os amigos  e engracado ,da entretenimento e o Vyni faz o que ? Lambe e fica atras do Eli o dia inteiro AFF chega ne #ForaVyni","@MariaTh09491069 @HugoGloss Meu o cara da o sangue nas provas,defende os amigos  e engracado ,da entretenimento e o Vyni faz o que ? Lambe e fica atras do Eli o dia inteiro AFF chega ne #ForaVyni",#foravyni
3873,#ForaScooby nao mexe com o barao https://t.co/AFtDsDLrJK,#ForaScooby nao mexe com o barao https://t.co/AFtDsDLrJK,#forascooby
3876,"Vem ser sonso aqui fora, Pedro Scooby #ForaScooby https://t.co/LsvG77kfVN","Vem ser sonso aqui fora, Pedro Scooby #ForaScooby https://t.co/LsvG77kfVN",#forascooby
3879,"@vyniof Eu nao gosto do vyni por ele ser sem carisma, mas fico com do da desproporcao de hate que ele sofre aqui fora, sou #FORASCOOBY, ate pra competicao ficar mais justa","@vyniof Eu nao gosto do vyni por ele ser sem carisma, mas fico com do da desproporcao de hate que ele sofre aqui fora, sou #FORASCOOBY, ate pra competicao ficar mais justa",#forascooby
3880,Arthur ganhou meu respeito agora descreveu o PA de forma incrivel como ele realmente e  #ForaVyni #RedeBBB #BBB2 https://t.co/Y6aSW5awX7,Arthur ganhou meu respeito agora descreveu o PA de forma incrivel como ele realmente e  #ForaVyni #RedeBBB #BBB2 https://t.co/Y6aSW5awX7,#foravyni
3882,"RT @KellyalvessKs: Nao tirem o Scooby,#ForaGustavo","RT @KellyalvessKs: Nao tirem o Scooby,#ForaGustavo",#foragustavo
3886,O povo se contorce de inveja ne kkkkk olha a reacao da casa kkkkkk #BBB22 #ForaVyni #ForaViny https://t.co/CLfrMaBiTl,O povo se contorce de inveja ne kkkkk olha a reacao da casa kkkkkk #BBB22 #ForaVyni #ForaViny https://t.co/CLfrMaBiTl,#foravyni
3887,"@felipeneto O cara e um escroto que vive arrotando que nao ta nem ai p programa, dxa ele ir p casa ver as criancas, tem um tempao q nao ve. #ForaScooby","@felipeneto O cara e um escroto que vive arrotando que nao ta nem ai p programa, dxa ele ir p casa ver as criancas, tem um tempao q nao ve. #ForaScooby",#forascooby
3889,"Momento veio!
Vem Tropecar aqui fora VINY
#ForaViny 
#FicaScooby 
#FicaGustavo","Momento veio!
Vem Tropecar aqui fora VINY
#ForaViny 
#FicaScooby 
#FicaGustavo",#foravyni
3892,"Nada pessoal mais nesse paredao eu sou mais um do loliflop, #ForaViny","Nada pessoal mais nesse paredao eu sou mais um do loliflop, #ForaViny",#foravyni
3894,bom dia #ForaVyni,bom dia #ForaVyni,#foravyni
3896,"8deg Paredao 
* Parcial 7h45
#ForaVyni  78,8% +0,2%
#ForaScooby  11,6% -0,5% 
#ForaGustavo  9,6% +0,3%","8deg Paredao 
* Parcial 7h45
#ForaVyni  78,8% +0,2%
#ForaScooby  11,6% -0,5% 
#ForaGustavo  9,6% +0,3%",#foravyni
3897,"@eulisass Gustavo e adversario direto do Arthur. Agora, aliado ao Lucas. Tirando ele, desestabiliza diretamente a Lais e o Lucas. Os outros caem por tabela.  Vou de #ForaGustavo","@eulisass Gustavo e adversario direto do Arthur. Agora, aliado ao Lucas. Tirando ele, desestabiliza diretamente a Lais e o Lucas. Os outros caem por tabela.  Vou de #ForaGustavo",#foragustavo
3900,"Torcida do lolipop, Lucas e comadres deveriam se juntar e tirar o Scooby ate pq ele foi indicacao do lider... #ForaScooby","Torcida do lolipop, Lucas e comadres deveriam se juntar e tirar o Scooby ate pq ele foi indicacao do lider... #ForaScooby",#forascooby
3901,e vamos de #ForaVyni pq n aguento mais ver video desse tchola e ficar com vergonha alheia https://t.co/iKa4XFJfa5,e vamos de #ForaVyni pq n aguento mais ver video desse tchola e ficar com vergonha alheia https://t.co/iKa4XFJfa5,#foravyni
3902,Queria que a galera fosse #ForaScooby . Ta ficando tao obvio esse bbb tirando todo mundo do Lolliflop #BBB22,Queria que a galera fosse #ForaScooby . Ta ficando tao obvio esse bbb tirando todo mundo do Lolliflop #BBB22,#forascooby
3904,"@AngekaAires Gustavo e adversario direto do Arthur. Agora, aliado ao Lucas. Tirando ele, desestabiliza diretamente a Lais e o Lucas. Os outros caem por tabela.  Vou de #ForaGustavo","@AngekaAires Gustavo e adversario direto do Arthur. Agora, aliado ao Lucas. Tirando ele, desestabiliza diretamente a Lais e o Lucas. Os outros caem por tabela.  Vou de #ForaGustavo",#foragustavo
3910,"Gustavo e ardiloso e invejoso. Esta preocupado com a aproximacao de DG, Scooby e PA, com Arthur. Isso ameaca sua colocacao no game, bem como, sua ""amada"" Lais.
#ForaGustavo ... a plantinha a gente tira depois.","Gustavo e ardiloso e invejoso. Esta preocupado com a aproximacao de DG, Scooby e PA, com Arthur. Isso ameaca sua colocacao no game, bem como, sua ""amada"" Lais.
#ForaGustavo ... a plantinha a gente tira depois.",#foragustavo
3914,RT @rickbotini: Issoooo #ForaViny #BBB #BBB22 https://t.co/9uNXblz7Uv,RT @rickbotini: Issoooo #ForaViny #BBB #BBB22 https://t.co/9uNXblz7Uv,#foravyni
3915,"RT @maricomentsbbb: Minha Disney surra em provas de lider, anjo, maceta em argumentos e carisma!! Me Desculpe, mas sao os maiores! #BBB22 #...","RT @maricomentsbbb: Minha Disney surra em provas de lider, anjo, maceta em argumentos e carisma!! Me Desculpe, mas sao os maiores! #BBB22 #...",
3916,"@bbb Tu vai sair para largar de ser trouxa como sombra do Eliezer e planta forcada dentro da casa, cada forcacao besta que ninguem aguenta mais!! #ForaViny","@bbb Tu vai sair para largar de ser trouxa como sombra do Eliezer e planta forcada dentro da casa, cada forcacao besta que ninguem aguenta mais!! #ForaViny",#foravyni
3917,"Scooby tinha q sair com 99%, se faz de arregao pra nao se comprometer no jogo e ainda da uma de pateta pros troxas cairem no papo dele, pq ele e muito e arrogante e prepotente
O cara desmerece o bbb e o publico ainda despreza os outros participantes 
#ForaScooby  #BBB22","Scooby tinha q sair com 99%, se faz de arregao pra nao se comprometer no jogo e ainda da uma de pateta pros troxas cairem no papo dele, pq ele e muito e arrogante e prepotente
O cara desmerece o bbb e o publico ainda despreza os outros participantes 
#ForaScooby  #BBB22",#forascooby
3919,"Nao vamos esquecer que a globo contratou a Rafa Kaliman pra fazer programa de auditorio hein?
Depois da eliminacao do @vyniof terca feira capaz que eles ressuscitam a Zorra Total so pra contratar ele com todo o senso de humor que ele mostrou que tem  #ForaViny #BBB22","Nao vamos esquecer que a globo contratou a Rafa Kaliman pra fazer programa de auditorio hein?
Depois da eliminacao do @vyniof terca feira capaz que eles ressuscitam a Zorra Total so pra contratar ele com todo o senso de humor que ele mostrou que tem  #ForaViny #BBB22",#foravyni
3921,"Ja que e pra tombar , ven tombar aqui fora Vyni
#ForaVyni","Ja que e pra tombar , ven tombar aqui fora Vyni
#ForaVyni",#foravyni
3923,Se fomos FOMOS #ForaViny #ForaVyni e homofobia? Porque acho que nao hein,Se fomos FOMOS #ForaViny #ForaVyni e homofobia? Porque acho que nao hein,#foravyni
3926,@BryannaNasck Por isso sou #ForaScooby,@BryannaNasck Por isso sou #ForaScooby,#forascooby
3928,primeira vez em semanas q eu consegui dormir cedo e nem vi o bbb  mas ja fiquei sabendo entao ne #foravyni,primeira vez em semanas q eu consegui dormir cedo e nem vi o bbb  mas ja fiquei sabendo entao ne #foravyni,#foravyni
